y=1388, x=546..564
x=574, y=1478..1490
y=1473, x=535..567
x=584, y=1744..1755
x=550, y=1552..1564
x=614, y=1796..1799
x=512, y=494..505
x=495, y=736..745
y=1517, x=556..575
x=462, y=677..680
y=1248, x=589..601
y=1294, x=473..478
x=446, y=1521..1523
x=537, y=1352..1361
y=1021, x=513..532
y=1709, x=532..544
x=521, y=986..995
x=598, y=1163..1174
y=849, x=461..465
x=470, y=1445..1461
y=977, x=510..528
x=511, y=586..605
x=569, y=15..17
x=509, y=837..848
y=1155, x=590..592
x=473, y=838..852
x=549, y=585..611
x=554, y=390..402
y=895, x=480..483
x=517, y=1987..1989
x=461, y=1407..1433
x=571, y=1951..1961
x=620, y=971..995
y=1253, x=535..555
y=2014, x=503..513
x=556, y=69..80
x=465, y=890..902
x=625, y=1883..1887
x=518, y=377..391
y=1944, x=560..586
x=469, y=1201..1207
y=55, x=556..566
x=498, y=1883..1899
x=597, y=418..421
y=1870, x=508..526
x=550, y=1921..1933
x=581, y=944..950
y=1148, x=477..488
x=477, y=1055..1073
x=555, y=808..810
y=1728, x=504..506
y=467, x=449..453
y=889, x=564..590
x=458, y=1375..1395
y=86, x=501..517
x=531, y=1775..1780
y=65, x=485..501
y=1532, x=511..520
x=500, y=404..431
y=998, x=514..530
x=597, y=1871..1883
y=20, x=483..501
x=542, y=427..449
x=472, y=1375..1395
y=1234, x=587..589
x=631, y=1112..1136
x=472, y=580..592
x=512, y=161..171
x=493, y=1986..1989
y=360, x=521..539
y=708, x=615..639
y=1174, x=598..619
x=528, y=966..977
x=444, y=791..809
x=586, y=342..352
x=490, y=7..14
x=559, y=1398..1411
y=144, x=477..483
x=440, y=339..345
x=477, y=1135..1148
x=482, y=861..874
x=466, y=110..120
x=495, y=1551..1571
y=1948, x=443..449
y=1287, x=454..463
x=541, y=1417..1430
x=459, y=352..363
x=545, y=1140..1151
x=639, y=933..957
x=521, y=1440..1454
x=451, y=1887..1911
x=627, y=838..841
y=1755, x=445..460
x=529, y=1355..1365
x=533, y=1398..1411
y=1402, x=574..588
x=502, y=901..925
x=594, y=1635..1638
x=466, y=1442..1462
x=618, y=1974..1978
y=1542, x=544..569
y=552, x=457..475
y=1982, x=579..626
x=537, y=1184..1193
y=391, x=495..518
x=585, y=1147..1158
y=253, x=621..628
x=475, y=1790..1799
x=530, y=853..881
y=107, x=558..586
y=677, x=613..635
y=532, x=449..451
y=45, x=448..460
x=548, y=150..153
x=444, y=1886..1911
x=573, y=36..42
y=925, x=502..507
x=464, y=400..409
x=515, y=906..918
y=634, x=470..472
x=559, y=127..143
x=528, y=1775..1780
y=1173, x=557..574
y=821, x=591..612
x=457, y=525..535
x=578, y=1576..1578
x=520, y=1007..1018
y=1981, x=443..469
x=494, y=1728..1756
x=608, y=1811..1814
x=622, y=776..791
x=439, y=1163..1191
y=1228, x=445..468
x=511, y=1769..1772
x=585, y=1948..1957
x=474, y=375..388
x=483, y=600..610
x=638, y=378..388
x=481, y=1560..1566
y=1490, x=572..574
y=110, x=490..507
x=637, y=200..214
x=501, y=73..86
x=490, y=1226..1228
x=524, y=1308..1320
x=534, y=1180..1184
y=317, x=608..623
x=461, y=1065..1067
x=538, y=53..61
x=532, y=1010..1021
y=1586, x=629..640
y=276, x=511..513
x=600, y=584..593
y=1433, x=461..489
x=568, y=1811..1821
x=627, y=334..358
x=583, y=1007..1013
x=532, y=138..148
x=569, y=1890..1900
y=431, x=473..500
x=606, y=304..306
y=244, x=461..465
x=504, y=1720..1728
y=161, x=581..590
x=450, y=144..156
x=531, y=474..476
x=581, y=1617..1630
x=620, y=1186..1211
y=1416, x=629..639
y=364, x=444..450
y=442, x=576..580
x=466, y=2008..2017
x=606, y=922..936
x=544, y=76..89
y=1598, x=579..584
x=535, y=1370..1384
y=1300, x=509..529
x=527, y=1204..1215
x=601, y=222..249
x=537, y=495..505
y=306, x=606..624
y=548, x=467..469
y=315, x=570..591
x=475, y=1344..1357
x=590, y=1891..1900
x=642, y=2010..2022
y=1184, x=507..534
y=950, x=506..509
x=477, y=805..807
x=520, y=1626..1629
x=607, y=1407..1431
x=470, y=1806..1814
x=556, y=564..575
y=1673, x=605..609
y=120, x=464..466
x=522, y=120..133
y=1717, x=475..479
y=1384, x=512..535
x=619, y=776..791
x=490, y=1244..1267
y=1660, x=624..635
y=916, x=599..624
x=564, y=26..46
x=489, y=603..616
y=634, x=503..518
x=443, y=1972..1981
y=1626, x=438..457
x=520, y=809..822
x=459, y=252..265
y=1484, x=602..607
x=540, y=1096..1107
x=473, y=989..1012
y=575, x=556..577
x=463, y=162..173
x=634, y=1312..1334
y=1946, x=443..449
x=485, y=1729..1756
x=465, y=1532..1543
y=1572, x=449..458
x=505, y=1565..1568
x=546, y=391..402
x=617, y=71..80
x=451, y=1853..1872
y=230, x=458..462
x=608, y=1778..1779
x=510, y=1401..1405
x=492, y=959..973
x=524, y=267..280
x=465, y=1065..1067
y=387, x=528..540
x=510, y=1565..1568
x=587, y=1345..1370
x=552, y=115..120
y=1425, x=565..568
x=444, y=353..364
x=573, y=351..363
x=473, y=864..877
x=506, y=1719..1728
x=468, y=648..659
y=171, x=512..535
x=547, y=1708..1723
y=1193, x=537..566
x=488, y=7..14
y=902, x=444..465
y=852, x=456..473
x=546, y=1376..1388
x=483, y=886..895
y=1005, x=482..489
x=505, y=368..370
x=566, y=1115..1125
y=1932, x=499..521
x=501, y=1884..1899
y=260, x=525..551
x=480, y=439..451
x=585, y=1007..1013
y=553, x=542..567
x=507, y=98..110
x=534, y=1072..1085
y=297, x=446..450
y=61, x=536..538
y=194, x=518..537
y=2016, x=449..463
y=306, x=628..631
x=543, y=591..599
x=538, y=424..442
y=753, x=588..593
x=505, y=1056..1073
y=1523, x=446..471
x=506, y=948..950
x=517, y=1469..1484
y=809, x=444..461
x=453, y=95..123
x=605, y=1668..1673
y=193, x=609..620
x=471, y=502..510
x=530, y=178..191
x=613, y=204..206
x=438, y=1618..1626
y=578, x=494..504
x=572, y=1478..1490
x=529, y=1245..1257
x=449, y=1571..1572
x=489, y=985..1005
x=557, y=285..297
x=462, y=628..638
y=724, x=546..550
y=1712, x=614..618
y=1772, x=498..511
y=1603, x=534..538
x=587, y=925..932
x=464, y=110..120
x=630, y=13..20
x=494, y=557..578
x=556, y=1374..1385
x=480, y=1473..1480
x=495, y=377..391
x=520, y=1497..1513
x=639, y=685..708
y=1492, x=484..488
y=814, x=597..603
x=551, y=203..217
x=472, y=1243..1267
x=563, y=1790..1802
y=638, x=462..478
x=547, y=466..479
x=578, y=818..822
x=580, y=1908..1920
y=941, x=484..491
x=481, y=184..191
x=543, y=612..620
x=630, y=1023..1032
y=214, x=631..637
x=473, y=1551..1571
x=488, y=960..973
y=884, x=543..548
x=579, y=762..764
y=1267, x=472..490
x=570, y=308..315
x=622, y=586..613
y=77, x=597..602
x=474, y=1512..1524
x=624, y=883..886
x=604, y=838..841
y=662, x=620..632
x=554, y=1815..1822
x=467, y=540..548
y=473, x=443..459
y=1705, x=460..462
y=1484, x=506..517
y=807, x=477..482
x=608, y=1033..1042
x=440, y=1409..1417
x=469, y=925..936
x=603, y=341..352
y=384, x=610..621
x=630, y=1830..1852
y=164, x=571..596
y=791, x=619..622
y=501, x=529..531
x=507, y=773..786
x=504, y=1263..1266
x=517, y=1563..1579
y=1799, x=598..614
x=578, y=1000..1022
x=541, y=269..271
y=123, x=453..474
y=620, x=541..543
x=606, y=959..979
x=602, y=1484..1487
y=1559, x=608..630
x=601, y=1451..1458
x=507, y=901..925
x=598, y=1704..1714
x=620, y=651..662
x=498, y=283..298
x=616, y=1011..1016
x=473, y=1535..1537
x=568, y=1417..1425
x=556, y=642..663
x=551, y=1831..1843
x=459, y=1918..1932
x=471, y=442..445
y=54, x=590..608
x=579, y=1948..1957
x=509, y=1328..1335
x=455, y=1781..1807
